"job_title","activity_sector","job_function","required_experience","study_level","contract_type","remote_work","city"
"business analyst (ba) |","conseil, audit, comptabilité","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"chargé d'étude |","banque, assurance, finances","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"développeur backend .net core (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","fraichement diplômé","bac +2","cdi","non","casablanca"
"expert informatica (h/f) |","marketing, communication, médias","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"assistant commercial (h/f) |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"contrôleur de gestion (h/f) |","distribution, vente, commerce de gros","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","béni mellal"
"conseiller de service cupra (h/f) |","automobile, matériels de transport, réparation","commercial, vente","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"pilote maquette numérique |","services autres","production, maintenance, qualité","fraichement diplômé","bac +5 et plus","autre","hybride","fès"
"chargé de conduite d'activité h/f |","télécom","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"reprographiste |","éducation, formation","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","rabat"
"ingénieur agronome |","agroalimentaire","r&d, gestion de projets","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","meknès"
"administrateur middleware |","banque, assurance, finances","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"pilote de documentation technique |","services autres","production, maintenance, qualité","fraichement diplômé","bac +5 et plus","autre","hybride","fès"
"superviseur de maintenance |","agroalimentaire","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +3","cdi","non","skhirate"
"avis aux jeunes diplômés. intégrez unifitel et bénéficiez d'un tremplin vers les métiers financiers à distance |","services autres","gestion, comptabilité, finance","fraichement diplômé","bac +2","cdi","non","casablanca"
"spécialiste paie et administration du personnel |","aéronautique, navale","rh, formation","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"data analyst |","services autres","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +3","autre","non","el jadida"
"ingénieur avant vente it ( h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"ingénieur support n2 multimédia |","télécom","informatique, nouvelles technologies","fraichement diplômé","bac +5 et plus","autre","non","fès"
"consultant support it |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +2","cdi","hybride","rabat"
"esg specialist |","services autres","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac","autre","non","el jadida"
